"geneset","nBait","mean.pval","median.pval","median.CIlower","median.CIupper","nIter","num","sd.pval","se.pval","mean.OR","median.OR","min.OR","sd.OR","se.OR","SElower.OR","SEupper.OR","SElower.pval","SEupper.pval","SDupper.OR","SDlower.OR","log10.median.pval","log10.SElower.pval","log10.SEupper.pval"
"exomeMinusPreyASD102",31,0.00851045834320909,0.00790459581802891,1.0549434986949,1.33338503909277,1000,1000,0.00384839949666376,0.00012169707755703,1.18631511613422,1.18596725471682,1.13573050849939,0.0133525724132936,0.000422245414483388,1.18554500930234,1.18554500930234,0.00778289874047187,0.00802629289558594,1.18554500930234,1.18554500930234,2.10212033173903,2.10885861990975,2.09548499603306
"exomeMinusPreyASD102",32,0.00846818871999563,0.00763051124408393,1.05586717368688,1.33459329342346,1000,1000,0.00389900083596379,0.000123297232405461,1.18649092442459,1.18704780433003,1.1432588074031,0.0132094217188505,0.000417718592052639,1.18663008573798,1.18663008573798,0.00750721401167847,0.00775380847648939,1.18663008573798,1.18663008573798,2.11744636334966,2.12452120332021,2.11048493051878
"exomeMinusPreyASD102",33,0.00892264494630254,0.00824877571820242,1.05384753767391,1.33217593784335,1000,1000,0.00395985925739355,0.000125221744670666,1.18486568968817,1.18475772867095,1.14473926338183,0.0132258626764444,0.000418238500781749,1.18433949017017,1.18433949017017,0.00812355397353175,0.00837399746287308,1.18433949017017,1.18433949017017,2.08361050457545,2.09025392969751,2.07706717502592
"exomeMinusPreyASD102",34,0.00887844115790954,0.00824877571820242,1.05384753767391,1.33217593784335,1000,1000,0.00387596670035696,0.000122568829080954,1.18491641008428,1.18475772867095,1.13943314212693,0.0128300853032573,0.000405722921325454,1.18435200574963,1.18435200574963,0.00812620688912146,0.00837134454728337,1.18435200574963,1.18435200574963,2.08361050457545,2.09011212495078,2.07720478303781
"exomeMinusPreyASD102",35,0.00934097776394061,0.0084643238382155,1.05315525767933,1.33110791715044,1000,1000,0.0041189811491894,0.000130253620707363,1.18343858510175,1.18385295345086,1.14422780231448,0.0130392131030365,0.000412336123019073,1.18344061732784,1.18344061732784,0.00833407021750814,0.00859457745892286,1.18344061732784,1.18344061732784,2.0724077292338,2.07914284477773,2.06577546996809
"exomeMinusPreyASD102",36,0.00971575302107939,0.00899232421689931,1.05147883428139,1.32935830866794,1000,1000,0.00450414258497095,0.000142433494746667,1.18254465926858,1.18219016128831,1.13450214432318,0.0138270323301226,0.000437249154439726,1.18175291213387,1.18175291213387,0.00884989072215265,0.00913475771164598,1.18175291213387,1.18175291213387,2.0461280430704,2.05306209190772,2.03930296729236
"exomeMinusPreyASD102",37,0.00971095684584347,0.00879148534226598,1.05207425762851,1.32996655821672,1000,1000,0.00436625585098653,0.000138073133361542,1.18247049142514,1.18279035395215,1.13806504881679,0.013583331359995,0.000429542653103766,1.18236081129905,1.18236081129905,0.00865341220890443,0.00892955847562752,1.18236081129905,1.18236081129905,2.055937743646,2.0628126079932,2.04917001438571
"exomeMinusPreyASD102",38,0.00995573694672601,0.00925307676748416,1.05069091110936,1.32821998009209,1000,1000,0.00433089608122765,0.00013695495926177,1.18158602978605,1.18113344803045,1.14534996137522,0.0132360014486636,0.000418559116910652,1.18071488891353,1.18071488891353,0.00911612180822239,0.00939003172674593,1.18071488891353,1.18071488891353,2.03371383472474,2.04018988047659,2.02733294035078
"exomeMinusPreyASD102",39,0.0103524067388576,0.00946343653147234,1.05009844916493,1.32762098892615,1000,1000,0.00439418140178241,0.000138956216815839,1.18026441596857,1.18053780040876,1.14065422704381,0.0128987809257513,0.000407895267649093,1.18012990514111,1.18012990514111,0.0093244803146565,0.00960239274828818,1.18012990514111,1.18012990514111,2.02395112621586,2.03037536356928,2.01762053488778
"exomeMinusPreyASD102",40,0.0104986801111114,0.00973578047416968,1.04927742704675,1.32657668456178,1000,1000,0.00428959460391103,0.000135648891871267,1.17970452477395,1.1796240280017,1.14352357628611,0.0125200601123317,0.000395919063971917,1.17922810893772,1.17922810893772,0.00960013158229841,0.00987142936604095,1.17922810893772,1.17922810893772,2.01162922729356,2.01772281434851,2.00561995768101
"exomeMinusPreyASD102",41,0.0105674899233634,0.00977328183389943,1.04927742704675,1.3265327237973,1000,1000,0.0046849871283842,0.000148152301342658,1.17994639098421,1.1796240280017,1.14117230886976,0.0137057949637845,0.000433415292288241,1.17919061270941,1.17919061270941,0.00962512953255677,0.00992143413524209,1.17919061270941,1.17919061270941,2.00995957722045,2.01659341715493,2.00342554639376
"exomeMinusPreyASD102",42,0.0109334590137808,0.0102270337376041,1.04801626969211,1.32500147540753,1000,1000,0.00459325565897398,0.000145251497578154,1.17862315443851,1.17840238694239,1.14030184996099,0.0129794333649331,0.000410445721715721,1.17799194122067,1.17799194122067,0.0100817822400259,0.0103722852351822,1.17799194122067,1.17799194122067,1.9902503113702,1.99646268727641,1.98412554875166
"exomeMinusPreyASD102",43,0.011097356198661,0.0102704494796098,1.04782379331295,1.32485766185998,1000,1000,0.00456424331749482,0.000144334046784867,1.17806934722652,1.17811616693219,1.13978947181389,0.0126082646393211,0.00039870833602416,1.17771745859617,1.17771745859617,0.0101261154328249,0.0104147835263947,1.17771745859617,1.17771745859617,1.98841054936838,1.99455712617363,1.98234975253038
"exomeMinusPreyASD102",44,0.0115446338142043,0.0108412982267614,1.04645667920854,1.32322768749059,1000,1000,0.00461386576457204,0.000145903246343219,1.17680010954175,1.17660983630132,1.14091035919246,0.0125776537779628,0.000397740335593841,1.17621209596573,1.17621209596573,0.0106953949804182,0.0109872014731047,1.17621209596573,1.17621209596573,1.96491870866852,1.97080317232213,1.95911291172201
"exomeMinusPreyASD102",45,0.0116393282550168,0.0108750758252165,1.04635889885062,1.32293240244892,1000,1000,0.00484240995448252,0.000153130448204371,1.17673150880606,1.17659124066103,1.14177967874994,0.0130411767503964,0.000412398219000857,1.17617884244203,1.17617884244203,0.0107219453770122,0.0110282062734209,1.17617884244203,1.17617884244203,1.9635677062944,1.96972640961982,1.95749511937342
"exomeMinusPreyASD102",46,0.0121560675836476,0.0109417634739538,1.04616117490182,1.32270688933581,1000,1000,0.00527688551450693,0.000166869771777914,1.17547885289853,1.17629539209299,1.13267235277126,0.0131550283896286,0.000415998523954034,1.17587939356904,1.17587939356904,0.0107748937021759,0.0111086332457317,1.17587939356904,1.17587939356904,1.96091267751934,1.96758700560214,1.95433937133372
"exomeMinusPreyASD102",47,0.0121400625565452,0.011339090937663,1.04518985148677,1.32152917028618,1000,1000,0.00493819048624458,0.000156159294563073,1.17534977225388,1.17510500766149,1.14117230886976,0.0128202400586685,0.000405411587355233,1.17469959607414,1.17469959607414,0.0111829316431,0.0114952502322261,1.17469959607414,1.17469959607414,1.94542176172018,1.95144432976621,1.93948157043279
"exomeMinusPreyASD102",48,0.0122511858773694,0.0115690035201767,1.04460244684815,1.32100008187616,1000,1000,0.00517072683911405,0.000163512739701634,1.17519688067918,1.1745135283133,1.13440298641262,0.0130534981164884,0.000412787854808214,1.17410074045849,1.17410074045849,0.0114054907804751,0.0117325162598783,1.17410074045849,1.17410074045849,1.93670404678082,1.94288602220967,1.93060883523432
"exomeMinusPreyASD102",49,0.0126969775693569,0.0117528952859378,1.044211512953,1.3202434485757,1000,1000,0.00507661889367475,0.000160536785166564,1.17384155712755,1.17418187581585,1.13996295375511,0.0123792910834702,0.000391467556419795,1.17379040825943,1.17379040825943,0.0115923585007712,0.0119134320711043,1.17379040825943,1.17379040825943,1.92985513323781,1.93582819650693,1.92396310712994
"exomeMinusPreyASD102",50,0.0131721885346737,0.012494380795158,1.04245853464891,1.31807323918877,1000,1000,0.00516064010639085,0.000163193769206087,1.17267237967094,1.17208722544201,1.13328062282709,0.0124486294042329,0.000393660226647208,1.17169356521536,1.17169356521536,0.0123311870259519,0.0126575745643641,1.17169356521536,1.17169356521536,1.9032852620593,1.90899511529336,1.89764950555309
